Id,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,GrLivArea,FullBath,BedroomAbvGr,GarageCars,PoolArea,MiscVal,LotArea,SaleCondition,Alley,SalePrice
655,Gilbert,1Fam,1.5Fin,7,5,1914,862.0,995,1,2,3.0,0.0,0.0,29339.0,Family,,252663
77,OldTown,1Fam,1Story,6,4,1933,1119.0,853,1,2,1.0,0.0,0.0,8463.0,Normal,,225777
317,Somerst,Twnhs,2Story,6,3,1946,583.0,639,1,5,4.0,,,11395.0,AdjLand,,225460
1348,Sawyer,1Fam,1Story,7,7,1986,1247.0,1165,2,3,2.0,0.0,0.0,12928.0,Abnorml,,299829
572,Sawyer,TwnhsE,1Story,4,2,1997,1203.0,1994,1,2,3.0,0.0,0.0,18736.0,Normal,,312589
919,NWAmes,TwnhsE,2Story,7,7,1990,747.0,1656,2,3,2.0,0.0,0.0,6481.0,Normal,,319998
755,Gilbert,1Fam,1Story,3,9,1990,1051.0,999,0,3,2.0,0.0,0.0,5040.0,Normal,,212364
528,OldTown,1Fam,1.5Fin,4,9,1953,909.0,1995,3,3,1.0,0.0,0.0,8300.0,Partial,,267257
1340,CollgCr,1Fam,2Story,7,6,1930,1435.0,1436,2,4,1.0,0.0,0.0,8823.0,Family,,314503
1194,Somerst,Twnhs,1.5Fin,8,10,1991,,1446,2,3,4.0,0.0,0.0,9508.0,Normal,,355913
1084,NorthAmes,Twnhs,1Story,4,2,1952,1209.0,1989,2,4,2.0,0.0,0.0,22888.0,Abnorml,Pave,297859
875,NridgHt,TwnhsE,2Story,5,10,1977,1011.0,1946,2,6,2.0,0.0,0.0,7969.0,Normal,Pave,336101
1271,OldTown,1Fam,1Story,6,7,1997,328.0,1417,1,2,2.0,0.0,0.0,13983.0,Normal,,290145
708,Somerst,1Fam,SFoyer,7,6,1995,1050.0,1642,1,3,3.0,0.0,0.0,19484.0,Normal,,304090
986,NridgHt,1Fam,SFoyer,5,3,1900,880.0,1843,2,4,3.0,0.0,0.0,4540.0,Normal,,290761
1415,Edwards,TwnhsE,1Story,6,8,1917,542.0,1774,2,3,2.0,,0.0,5873.0,Normal,,310760
1499,Somerst,TwnhsE,SLvl,6,3,1922,214.0,1633,2,3,2.0,0.0,0.0,13521.0,Partial,,251220
31,Mitchel,Duplex,SLvl,10,9,1920,,1556,2,3,1.0,0.0,0.0,5997.0,Normal,,370593
50,OldTown,Duplex,SLvl,6,10,2011,472.0,1990,1,5,,0.0,0.0,3355.0,Normal,,317392
241,NWAmes,TwnhsE,2Story,9,9,1959,,1458,1,2,2.0,0.0,0.0,5452.0,Normal,,335507
310,NridgHt,TwnhsE,SLvl,7,6,1958,1244.0,1858,2,4,2.0,0.0,0.0,7323.0,Normal,,365939
353,Sawyer,1Fam,2Story,6,7,1979,1461.0,1022,2,3,2.0,,0.0,12441.0,Normal,,284783
125,Edwards,1Fam,2Story,7,2,1935,603.0,2249,1,3,3.0,0.0,0.0,10866.0,Normal,,344305
1158,CollgCr,Twnhs,1Story,7,9,1959,1180.0,1856,2,6,2.0,0.0,0.0,,Normal,,341061
651,Somerst,1Fam,2Story,4,10,1960,793.0,1429,0,3,4.0,0.0,0.0,20424.0,Partial,,262429
71,Mitchel,1Fam,1Story,9,10,1968,529.0,1817,1,3,2.0,0.0,0.0,9707.0,Normal,,373193
1498,OldTown,1Fam,2Story,2,8,1959,1605.0,1003,2,2,1.0,0.0,0.0,14826.0,Normal,Pave,214680
702,NridgHt,TwnhsE,2Story,6,4,1971,807.0,1423,1,2,1.0,0.0,0.0,13691.0,Normal,,263755
1103,Somerst,1Fam,2Story,5,3,1905,1120.0,1245,1,2,2.0,0.0,0.0,23021.0,Normal,,210189
1317,Edwards,1Fam,1Story,6,6,2002,1042.0,1692,1,4,2.0,0.0,0.0,4757.0,Normal,,307503
1104,Edwards,1Fam,2Story,6,6,1911,1435.0,1024,1,5,2.0,0.0,0.0,7556.0,Normal,Grvl,270147
1314,NorthAmes,1Fam,2Story,7,3,1996,775.0,1371,2,3,,0.0,0.0,10709.0,Normal,,307638
1482,NorthAmes,1Fam,1Story,8,2,2000,528.0,2008,2,4,3.0,0.0,0.0,6724.0,Normal,,383627
584,CollgCr,1Fam,2Story,3,10,1901,1471.0,581,1,4,,0.0,0.0,,Normal,,171245
1217,Sawyer,TwnhsE,1.5Fin,6,4,2010,1261.0,1750,2,4,1.0,0.0,0.0,5786.0,Abnorml,,336987
1302,Gilbert,1Fam,2Story,6,5,1963,1269.0,2577,2,2,1.0,,14673.0,13306.0,Normal,,361615
501,Gilbert,1Fam,1Story,6,3,2005,914.0,1229,1,2,2.0,0.0,0.0,12875.0,Partial,,275869
1401,Sawyer,1Fam,2Story,7,4,1924,1200.0,1481,1,2,3.0,0.0,0.0,4800.0,Normal,,297672
1189,Sawyer,TwnhsE,1Story,5,6,2010,1664.0,1802,2,3,1.0,0.0,0.0,10668.0,Normal,,331035
